year,age,sex,people
1982,0,F,4560
1982,10,F,6967
1982,15,F,7586
1982,20,F,6628
1982,25,F,5396
1982,30,F,5270
1982,35,F,4901
1982,40,F,5454
1982,45,F,5520
1982,5,F,5913
1982,50,F,5717
1982,55,F,5192
1982,60,F,3530
1982,65,F,3522
1982,70,F,2541
1982,75,F,1842
1982,80,F,1076
1982,85,F,677
1982,0,M,5059
1982,10,M,7311
1982,15,M,7978
1982,20,M,6965
1982,25,M,5410
1982,30,M,4932
1982,35,M,4227
1982,40,M,4630
1982,45,M,4720
1982,5,M,6331
1982,50,M,5051
1982,55,M,4649
1982,60,M,3059
1982,65,M,2819
1982,70,M,1991
1982,75,M,1211
1982,80,M,612
1982,85,M,326
1983,0,F,4616
1983,10,F,6747
1983,15,F,7531
1983,20,F,6802
1983,25,F,5580
1983,30,F,5105
1983,35,F,5017
1983,40,F,5228
1983,45,F,5519
1983,5,F,5700
1983,50,F,5640
1983,55,F,5311
1983,60,F,3902
1983,65,F,3254
1983,70,F,2727
1983,75,F,1816
1983,80,F,1124
1983,85,F,685
1983,0,M,4976
1983,10,M,7139
1983,15,M,7886
1983,20,M,7086
1983,25,M,5646
1983,30,M,4876
1983,35,M,4339
1983,40,M,4622
1983,45,M,4641
1983,5,M,6052
1983,50,M,4913
1983,55,M,4762
1983,60,M,3361
1983,65,M,2614
1983,70,M,2100
1983,75,M,1216
1983,80,M,670
1983,85,M,331
1984,0,F,4595
1984,10,F,6594
1984,15,F,7334
1984,20,F,6877
1984,25,F,5739
1984,30,F,5038
1984,35,F,5059
1984,40,F,5133
1984,45,F,5407
1984,5,F,5411
1984,50,F,5648
1984,55,F,5345
1984,60,F,4357
1984,65,F,3004
1984,70,F,2851
1984,75,F,1904
1984,80,F,1189
1984,85,F,662
1984,0,M,4891
1984,10,M,7032
1984,15,M,7820
1984,20,M,7050
1984,25,M,5884
1984,30,M,4739
1984,35,M,4521
1984,40,M,4457
1984,45,M,4580
1984,5,M,5803
1984,50,M,4885
1984,55,M,4758
1984,60,M,3749
1984,65,M,2396
1984,70,M,2198
1984,75,M,1227
1984,80,M,684
1984,85,M,320
1985,0,F,4549
1985,10,F,6380
1985,15,F,7230
1985,20,F,7003
1985,25,F,5899
1985,30,F,5052
1985,35,F,5244
1985,40,F,4838
1985,45,F,5450
1985,5,F,5157
1985,50,F,5497
1985,55,F,5349
1985,60,F,4774
1985,65,F,2811
1985,70,F,2949
1985,75,F,1998
1985,80,F,1229
1985,85,F,709
1985,0,M,4766
1985,10,M,6760
1985,15,M,7587
1985,20,M,7226
1985,25,M,6075
1985,30,M,4798
1985,35,M,4776
1985,40,M,4153
1985,45,M,4504
1985,5,M,5534
1985,50,M,4891
1985,55,M,4689
1985,60,M,4036
1985,65,M,2344
1985,70,M,2296
1985,75,M,1267
1985,80,M,694
1985,85,M,334
1986,0,F,4514
1986,10,F,6264
1986,15,F,7017
1986,20,F,7101
1986,25,F,5900
1986,30,F,5024
1986,35,F,5393
1986,40,F,4654
1986,45,F,5435
1986,5,F,4910
1986,50,F,5359
1986,55,F,5420
1986,60,F,4906
1986,65,F,2901
1986,70,F,3052
1986,75,F,2046
1986,80,F,1294
1986,85,F,708
1986,0,M,4646
1986,10,M,6521
1986,15,M,7362
1986,20,M,7327
1986,25,M,6110
1986,30,M,4916
1986,35,M,4825
1986,40,M,4009
1986,45,M,4558
1986,5,M,5264
1986,50,M,4702
1986,55,M,4722
1986,60,M,4087
1986,65,M,2444
1986,70,M,2344
1986,75,M,1369
1986,80,M,694
1986,85,M,320
1987,0,F,4343
1987,10,F,5957
1987,15,F,6897
1987,20,F,7087
1987,25,F,5952
1987,30,F,5188
1987,35,F,5196
1987,40,F,4765
1987,45,F,5285
1987,5,F,4608
1987,50,F,5306
1987,55,F,5400
1987,60,F,4900
1987,65,F,3241
1987,70,F,3086
1987,75,F,2084
1987,80,F,1292
1987,85,F,781
1987,0,M,4542
1987,10,M,6247
1987,15,M,7080
1987,20,M,7411
1987,25,M,6109
1987,30,M,4993
1987,35,M,4739
1987,40,M,4130
1987,45,M,4499
1987,5,M,5016
1987,50,M,4522
1987,55,M,4725
1987,60,M,4195
1987,65,M,2632
1987,70,M,2252
1987,75,M,1437
1987,80,M,707
1987,85,M,360
1988,0,F,4148
1988,10,F,5679
1988,15,F,6635
1988,20,F,6973
1988,25,F,5975
1988,30,F,5272
1988,35,F,4992
1988,40,F,4880
1988,45,F,5084
1988,5,F,4555
1988,50,F,5291
1988,55,F,5317
1988,60,F,4979
1988,65,F,3584
1988,70,F,2871
1988,75,F,2226
1988,80,F,1287
1988,85,F,834
1988,0,M,4379
1988,10,M,5954
1988,15,M,6902
1988,20,M,7310
1988,25,M,6121
1988,30,M,5033
1988,35,M,4705
1988,40,M,4230
1988,45,M,4478
1988,5,M,4830
1988,50,M,4458
1988,55,M,4581
1988,60,M,4272
1988,65,M,2902
1988,70,M,2103
1988,75,M,1530
1988,80,M,744
1988,85,M,372
1989,0,F,4097
1989,10,F,5418
1989,15,F,6476
1989,20,F,6866
1989,25,F,6007
1989,30,F,5368
1989,35,F,4852
1989,40,F,4979
1989,45,F,4965
1989,5,F,4415
1989,50,F,5193
1989,55,F,5321
1989,60,F,4993
1989,65,F,4008
1989,70,F,2651
1989,75,F,2325
1989,80,F,1336
1989,85,F,878
1989,0,M,4242
1989,10,M,5649
1989,15,M,6811
1989,20,M,7236
1989,25,M,6077
1989,30,M,5127
1989,35,M,4509
1989,40,M,4374
1989,45,M,4307
1989,5,M,4634
1989,50,M,4390
1989,55,M,4584
1989,60,M,4287
1989,65,M,3252
1989,70,M,1940
1989,75,M,1660
1989,80,M,755
1989,85,M,394
1990,0,F,3904
1990,10,F,5100
1990,15,F,6279
1990,20,F,6692
1990,25,F,6102
1990,30,F,5321
1990,35,F,4812
1990,40,F,5143
1990,45,F,4679
1990,5,F,4340
1990,50,F,5245
1990,55,F,5225
1990,60,F,4942
1990,65,F,4387
1990,70,F,2485
1990,75,F,2430
1990,80,F,1438
1990,85,F,941
1990,0,M,4121
1990,10,M,5373
1990,15,M,6607
1990,20,M,7034
1990,25,M,6144
1990,30,M,5198
1990,35,M,4458
1990,40,M,4639
1990,45,M,3993
1990,5,M,4457
1990,50,M,4334
1990,55,M,4577
1990,60,M,4216
1990,65,M,3506
1990,70,M,1887
1990,75,M,1723
1990,80,M,785
1990,85,M,444
1991,0,F,3842
1991,10,F,4806
1991,15,F,6152
1991,20,F,6551
1991,25,F,6116
