year,age,sex,people
1982,0,M,923
1982,1,M,959
1982,2,M,998
1982,3,M,1086
1982,4,M,1093
1982,5,M,1141
1982,6,M,1193
1982,7,M,1257
1982,8,M,1346
1982,9,M,1394
1982,10,M,1388
1982,11,M,1431
1982,12,M,1512
1982,13,M,1445
1982,14,M,1535
1982,15,M,1614
1982,16,M,1639
1982,17,M,1703
1982,18,M,1482
1982,19,M,1540
1982,20,M,1459
1982,21,M,1455
1982,22,M,1427
1982,23,M,1317
1982,24,M,1307
1982,25,M,1249
1982,26,M,1192
1982,27,M,1056
1982,28,M,926
1982,29,M,987
1982,30,M,995
1982,31,M,930
1982,32,M,957
1982,33,M,1047
1982,34,M,1003
1982,35,M,976
1982,36,M,844
1982,37,M,686
1982,38,M,837
1982,39,M,884
1982,40,M,826
1982,41,M,987
1982,42,M,973
1982,43,M,970
1982,44,M,874
1982,45,M,891
1982,46,M,923
1982,47,M,970
1982,48,M,1017
1982,49,M,919
1982,50,M,1024
1982,51,M,1060
1982,52,M,955
1982,53,M,990
1982,54,M,1022
1982,55,M,965
1982,56,M,974
1982,57,M,971
1982,58,M,899
1982,59,M,840
1982,60,M,771
1982,61,M,808
1982,62,M,576
1982,63,M,438
1982,64,M,466
1982,65,M,519
1982,66,M,609
1982,67,M,586
1982,68,M,552
1982,69,M,553
1982,70,M,480
1982,71,M,462
1982,72,M,388
1982,73,M,341
1982,74,M,320
1982,75,M,302
1982,76,M,247
1982,77,M,245
1982,78,M,203
1982,79,M,214
1982,80,M,178
1982,81,M,144
1982,82,M,111
1982,83,M,111
1982,84,M,68
1982,85,M,326
1982,0,F,870
1982,1,F,867
1982,2,F,917
1982,3,F,975
1982,4,F,931
1982,5,F,1120
1982,6,F,1141
1982,7,F,1165
1982,8,F,1280
1982,9,F,1207
1982,10,F,1403
1982,11,F,1263
1982,12,F,1436
1982,13,F,1395
1982,14,F,1470
1982,15,F,1525
1982,16,F,1487
1982,17,F,1522
1982,18,F,1548
1982,19,F,1504
1982,20,F,1426
1982,21,F,1360
1982,22,F,1312
1982,23,F,1309
1982,24,F,1221
1982,25,F,1180
1982,26,F,1107
1982,27,F,1103
1982,28,F,1045
1982,29,F,961
1982,30,F,947
1982,31,F,1034
1982,32,F,1068
1982,33,F,1090
1982,34,F,1131
1982,35,F,1116
1982,36,F,950
1982,37,F,860
1982,38,F,1016
1982,39,F,959
1982,40,F,1019
1982,41,F,1089
1982,42,F,1118
1982,43,F,1081
1982,44,F,1147
1982,45,F,1093
1982,46,F,1108
1982,47,F,1034
1982,48,F,1171
1982,49,F,1114
1982,50,F,1114
1982,51,F,1200
1982,52,F,1110
1982,53,F,1131
1982,54,F,1162
1982,55,F,1039
1982,56,F,1070
1982,57,F,1067
1982,58,F,1039
1982,59,F,977
1982,60,F,993
1982,61,F,892
1982,62,F,608
1982,63,F,503
1982,64,F,534
1982,65,F,645
1982,66,F,714
1982,67,F,756
1982,68,F,716
1982,69,F,691
1982,70,F,513
1982,71,F,551
1982,72,F,556
1982,73,F,499
1982,74,F,422
1982,75,F,422
1982,76,F,413
1982,77,F,367
1982,78,F,338
1982,79,F,302
1982,80,F,287
1982,81,F,240
1982,82,F,224
1982,83,F,172
1982,84,F,153
1982,85,F,677
1983,0,M,1008
1983,1,M,923
1983,2,M,960
1983,3,M,1009
1983,4,M,1076
1983,5,M,1104
1983,6,M,1130
1983,7,M,1205
1983,8,M,1263
1983,9,M,1350
1983,10,M,1388
1983,11,M,1393
1983,12,M,1426
1983,13,M,1497
1983,14,M,1435
1983,15,M,1532
1983,16,M,1598
1983,17,M,1615
1983,18,M,1688
1983,19,M,1453
1983,20,M,1510
1983,21,M,1433
1983,22,M,1453
1983,23,M,1405
1983,24,M,1285
1983,25,M,1265
1983,26,M,1220
1983,27,M,1177
1983,28,M,1066
1983,29,M,918
1983,30,M,992
1983,31,M,971
1983,32,M,917
1983,33,M,950
1983,34,M,1046
1983,35,M,1001
1983,36,M,966
1983,37,M,860
1983,38,M,690
1983,39,M,822
1983,40,M,877
1983,41,M,827
1983,42,M,985
1983,43,M,960
1983,44,M,973
1983,45,M,883
1983,46,M,882
1983,47,M,909
1983,48,M,971
1983,49,M,996
1983,50,M,905
1983,51,M,1014
1983,52,M,1064
1983,53,M,946
1983,54,M,984
1983,55,M,1003
1983,56,M,953
1983,57,M,962
1983,58,M,952
1983,59,M,892
1983,60,M,834
1983,61,M,755
1983,62,M,797
1983,63,M,555
1983,64,M,420
1983,65,M,451
1983,66,M,485
1983,67,M,594
1983,68,M,550
1983,69,M,534
1983,70,M,524
1983,71,M,469
1983,72,M,446
1983,73,M,356
1983,74,M,305
1983,75,M,306
1983,76,M,280
1983,77,M,216
1983,78,M,228
1983,79,M,186
1983,80,M,193
1983,81,M,168
1983,82,M,126
1983,83,M,97
1983,84,M,86
1983,85,M,331
1983,0,F,992
1983,1,F,870
1983,2,F,861
1983,3,F,909
1983,4,F,984
1983,5,F,929
1983,6,F,1142
1983,7,F,1149
1983,8,F,1194
1983,9,F,1286
1983,10,F,1226
1983,11,F,1402
1983,12,F,1279
1983,13,F,1442
1983,14,F,1398
1983,15,F,1476
1983,16,F,1517
1983,17,F,1486
1983,18,F,1522
1983,19,F,1530
1983,20,F,1483
1983,21,F,1423
1983,22,F,1322
1983,23,F,1288
1983,24,F,1286
1983,25,F,1192
1983,26,F,1166
1983,27,F,1104
1983,28,F,1097
1983,29,F,1021
1983,30,F,960
1983,31,F,945
1983,32,F,1043
1983,33,F,1072
1983,34,F,1085
1983,35,F,1125
1983,36,F,1100
1983,37,F,935
1983,38,F,849
1983,39,F,1008
1983,40,F,963
1983,41,F,996
1983,42,F,1090
1983,43,F,1105
1983,44,F,1074
1983,45,F,1137
1983,46,F,1088
1983,47,F,1100
1983,48,F,1031
1983,49,F,1163
1983,50,F,1097
1983,51,F,1096
1983,52,F,1207
1983,53,F,1119
1983,54,F,1121
1983,55,F,1138
1983,56,F,1036
1983,57,F,1060
1983,58,F,1044
1983,59,F,1033
1983,60,F,964
1983,61,F,984
1983,62,F,868
1983,63,F,590
1983,64,F,496
1983,65,F,518
1983,66,F,631
1983,67,F,699
1983,68,F,723
1983,69,F,683
1983,70,F,668
1983,71,F,515
1983,72,F,533
1983,73,F,534
1983,74,F,477
1983,75,F,403
1983,76,F,387
1983,77,F,379
1983,78,F,346
1983,79,F,301
1983,80,F,284
1983,81,F,271
1983,82,F,208
1983,83,F,214
1983,84,F,147
1983,85,F,685
1984,0,M,1007
1984,1,M,990
1984,2,M,927
1984,3,M,956
1984,4,M,1011
1984,5,M,1082
1984,6,M,1099
1984,7,M,1145
1984,8,M,1207
1984,9,M,1270
1984,10,M,1345
1984,11,M,1385
1984,12,M,1389
1984,13,M,1423
1984,14,M,1490
1984,15,M,1436
1984,16,M,1522
1984,17,M,1598
1984,18,M,1601
1984,19,M,1663
1984,20,M,1426
1984,21,M,1476
1984,22,M,1390
1984,23,M,1401
1984,24,M,1357
1984,25,M,1254
1984,26,M,1234
1984,27,M,1196
1984,28,M,1153
1984,29,M,1047
1984,30,M,912
1984,31,M,984
1984,32,M,976
1984,33,M,919
1984,34,M,948
1984,35,M,1019
1984,36,M,1004
1984,37,M,970
1984,38,M,846
1984,39,M,682
1984,40,M,821
1984,41,M,887
1984,42,M,828
1984,43,M,979
1984,44,M,942
1984,45,M,963
1984,46,M,864
1984,47,M,877
1984,48,M,903
1984,49,M,973
1984,50,M,987
1984,51,M,897
1984,52,M,1009
1984,53,M,1050
1984,54,M,942
1984,55,M,966
1984,56,M,989
1984,57,M,939
1984,58,M,940
1984,59,M,924
1984,60,M,881
1984,61,M,809
1984,62,M,732
1984,63,M,781
1984,64,M,546
1984,65,M,407
1984,66,M,422
1984,67,M,463
1984,68,M,578
1984,69,M,526
1984,70,M,514
1984,71,M,495
1984,72,M,439
1984,73,M,411
1984,74,M,339
1984,75,M,283
1984,76,M,284
1984,77,M,253
1984,78,M,204
1984,79,M,203
1984,80,M,160
1984,81,M,169
1984,82,M,146
1984,83,M,115
1984,84,M,94
1984,85,M,320
1984,0,F,924
1984,1,F,987
1984,2,F,887
1984,3,F,881
1984,4,F,916
1984,5,F,977
1984,6,F,939
1984,7,F,1150
1984,8,F,1154
1984,9,F,1191
1984,10,F,1269
1984,11,F,1231
1984,12,F,1404
1984,13,F,1266
1984,14,F,1424
1984,15,F,1390
1984,16,F,1460
1984,17,F,1503
1984,18,F,1474
1984,19,F,1507
1984,20,F,1489
1984,21,F,1447
1984,22,F,1387
1984,23,F,1266
1984,24,F,1288
1984,25,F,1244
1984,26,F,1158
1984,27,F,1158
1984,28,F,1099
1984,29,F,1080
1984,30,F,1014
1984,31,F,959
1984,32,F,937
1984,33,F,1061
1984,34,F,1067
1984,35,F,1085
1984,36,F,1113
1984,37,F,1093
1984,38,F,930
1984,39,F,838
1984,40,F,999
1984,41,F,952
1984,42,F,990
1984,43,F,1085
1984,44,F,1107
1984,45,F,1069
1984,46,F,1134
1984,47,F,1088
1984,48,F,1103
1984,49,F,1013
1984,50,F,1164
1984,51,F,1096
1984,52,F,1088
1984,53,F,1191
1984,54,F,1109
1984,55,F,1116
1984,56,F,1133
1984,57,F,1010
1984,58,F,1053
1984,59,F,1033
1984,60,F,1022
1984,61,F,941
1984,62,F,969
1984,63,F,847
1984,64,F,578
1984,65,F,485
1984,66,F,508
1984,67,F,607
1984,68,F,693
1984,69,F,711
1984,70,F,667
1984,71,F,645
1984,72,F,503
1984,73,F,516
1984,74,F,520
1984,75,F,454
1984,76,F,392
1984,77,F,364
1984,78,F,359
1984,79,F,335
1984,80,F,287
1984,81,F,263
1984,82,F,258
1984,83,F,186
1984,84,F,195
1984,85,F,662
1985,0,M,931
1985,1,M,992
1985,2,M,973
1985,3,M,911
1985,4,M,959
1985,5,M,1021
1985,6,M,1080
1985,7,M,1095
1985,8,M,1140
1985,9,M,1198
1985,10,M,1264
1985,11,M,1345
1985,12,M,1374
1985,13,M,1370
1985,14,M,1407
1985,15,M,1486
1985,16,M,1423
1985,17,M,1504
1985,18,M,1590
1985,19,M,1584
1985,20,M,1638
1985,21,M,1390
1985,22,M,1464
1985,23,M,1369
1985,24,M,1365
1985,25,M,1327
1985,26,M,1226
1985,27,M,1205
1985,28,M,1177
1985,29,M,1140
1985,30,M,1028
1985,31,M,897
1985,32,M,980
1985,33,M,969
1985,34,M,924
1985,35,M,947
1985,36,M,1023
1985,37,M,1000
1985,38,M,957
1985,39,M,849
1985,40,M,670
1985,41,M,820
1985,42,M,877
1985,43,M,820
1985,44,M,966
1985,45,M,936
1985,46,M,951
1985,47,M,863
1985,48,M,856
1985,49,M,898
1985,50,M,964
1985,51,M,988
1985,52,M,899
1985,53,M,1000
1985,54,M,1040
1985,55,M,930
1985,56,M,939
1985,57,M,969
1985,58,M,926
1985,59,M,925
1985,60,M,923
1985,61,M,850
1985,62,M,788
1985,63,M,721
1985,64,M,754
1985,65,M,533
1985,66,M,390
1985,67,M,412
1985,68,M,451
1985,69,M,558
1985,70,M,513
1985,71,M,493
1985,72,M,476
1985,73,M,420
1985,74,M,394
1985,75,M,313
1985,76,M,264
1985,77,M,260
1985,78,M,244
1985,79,M,186
1985,80,M,180
1985,81,M,151
1985,82,M,141
1985,83,M,125
1985,84,M,97
1985,85,M,334
1985,0,F,889
1985,1,F,926
1985,2,F,974
1985,3,F,884
1985,4,F,876
1985,5,F,899
1985,6,F,981
1985,7,F,943
1985,8,F,1169
1985,9,F,1165
1985,10,F,1198
1985,11,F,1270
1985,12,F,1229
1985,13,F,1407
1985,14,F,1276
1985,15,F,1419
1985,16,F,1383
1985,17,F,1462
1985,18,F,1506
1985,19,F,1460
1985,20,F,1492
1985,21,F,1469
1985,22,F,1424
1985,23,F,1363
1985,24,F,1255
1985,25,F,1254
1985,26,F,1234
1985,27,F,1162
1985,28,F,1150
1985,29,F,1099
1985,30,F,1078
1985,31,F,1013
1985,32,F,953
1985,33,F,936
1985,34,F,1072
1985,35,F,1057
1985,36,F,1078
1985,37,F,1097
1985,38,F,1094
1985,39,F,918
1985,40,F,834
1985,41,F,991
1985,42,F,956
1985,43,F,982
1985,44,F,1075
1985,45,F,1097
1985,46,F,1065
1985,47,F,1122
1985,48,F,1078
1985,49,F,1088
